	author	comment
0	LIBERTY MAN	🎸🥁🎸🥁🎸🥁🎸🥁🎸🥁🎸🥁🎸🥁🎸 🎤🎶🎤🎶🎤🎶🎤🎶🎤🎶🎤🎶🎤🎶🎤 🤘😇
1	Sophie Samb	😢😢😢😢😢😢😢! Non! Je vs aime .number one....
2	Marika Damiano	Song that remains imprinted in the heart ♥️ and soul ❤️
3	Carolina Olson	I left My country in 1980 due to a civil ward I left all My good friends specifically My childhood house Were I grew up. I was so sad but now I am USA citizen And I love this country. But I still miss My childhood friends.
4	Son whare	Resonance
5	esha handayani sman1 karawang jawa barat	since my father he passed away good d i like this sings tje winner takes it all...
6	Luciano Rafael	Amigo meu que faleceu amava abba
7	JAMESBONG100	They say she’s a man!
8	Jose Sanchez	RATONES MALDITOS
9	Lisa Alherez	Ali Alherz lied to you so he could keep all the money
10	Roey Earl	This song should be mandatory in every casino
11	Paco Ortega	Abba golf. Is. Famos. The. Mundial
12	RAMON VEGAS	Linda musica ,nos leva ao passado .
13	metin karadag	What a song .......
14	Steve	The best Abba song.
15	Justyna Dominiak	🎖🏅...🏆🏆🏆
16	Robert Filg	Que momento mágico do Abba e aqui estamos em 2023 curtindo e revivendo o instante feliz que passamos.
17	Italrish	Wow, she could really sing.
18	Evelyne GROLLEAU	J'adore 🌹🌹🌹
19	not bad for a noob	2:11 lips
20	Марина Ветрова	Лучшая песня о любви на все времена!
21	knights of ren	This is very hurting if you really understand the lyrics.
22	alex mirabueno	One of ABBA's best... One of my faves...until today. ABBA, a musical legend, an icon 👍! ABBA The Great 👍! Thank you for your music 👏👏👏👍❤️!
23	Kdevin Turner	There are some beautiful things from Sverige. Who is KORG?
24	Osama toty	اليك اكتب .. Chiquitata Hawafrita .. 😂💖☺️
25	Gerluce Borges	Inesquecível canção. 15: 01: 2023 momentos lindos eu vivi
26	Svetlana Perlova	ILiYA BUH 1964__1984 evpatoriya
27	Ann Pilkington	60 , lol same era, just didn't come out of it well
28	Edu J	The Winner Takes It All. 🙂⚘️
29	Marianna Nani	❤️❤️❤️❤️💔❤️
30	Stalevar	"the line - ""tell me, does she kiss, like I used to kiss you?""... sang so naturally. she really asks i she is better then her. Amazing!"
31	Gül Atasya	Acısını hissediyorum, onun yanında ona yazdığı bu şarkıyı söylemek ne zor olmuştur. Anetta hariç hiçbiri kameraya bakamıyor bile. Çok seven tüm kadınların kaderi bu şarkı, ne yazık ki
32	Walcir Previtale Bruno Dantas de Oliveira	Lembro da minha infância em São Paulo. Marcou uma época.
33	Raquel garcia	meu Momo amava essa música 💔😢💓
34	Volkan	That music touched my heart ❤️‍🩹
35	Sophia Marquis	So Pure, beautiful and special. ❤️
36	Cristina Santos	♥️😔👑🐺
37	Red Clover	Still remember hearing this in Better Call Saul (S4 I believe) such a great scene
38	HASSAN DOUKKALI	un vainqueur est le Seigneur fils de Marie au sens où il n'a pas de père humain
39	Rosario Celia Bertuchi Mas	Song of my life, so beautifull but sad..... wonderfull for me, from Málaga. Spain 💝
40	Kerstin Wassermann	Ich hätte an Agnetha's Stelle, diesen Song nicht gesungen. Dieser Björn war für mich von Anfang an, ein Spinner.
41	Ed Garzzi	ABBA has a very special place in my life,,
42	M	When i was 13 I met a boy who I fell head over heals for. He did not want me. This still hurts after all these years... never fallen in love again.......'you must know I miss you'
43	Gisele Strauch	"sums up this group""s experiences in life"
44	Fernanda Coelho	2023☝️
45	salvatore buffo	melodico suono!!!!💙💙💙
46	ze	سيم
47	d mary	Prekrasna Agneta....prekrasna pjesma ❤
48	JobsItStudy	Wonder Full!!!!!!!!!! ABBA......... just like Sohyang !!!!!!!
49	Ник Иванов	Никаких кривляние,никаких ботексов, никакой фанеры, все естественно,женский шарм,обаяние,голос,и домашний тепло и уют, оказывается как мало нужна быть легендой.
50	Slava Marmeladova	Прекрасно.Скромность ,элегантнтность и талант.
51	Jonathan Baxley	iive studyied this closely.youve just seen the best preformance ever given by a female preformer.
52	Ricardo Caldeira	AYRTON SENNA
53	M. Leslie	So when I studied abroad in France, I took my mom to Switzerland. She always dreamt of seeing the alps…, and I was able to give her that gift. It’s so weird that this song reminds me of jungfrau top of Europe…, anyway be safe and warm and loved this new year!
54	ZeroCool	My earliest memory of Abba was when I was little in the 1980s, my father had a Abba concert and music videos compilation on laserdisc. Even then I knew how powerful they become.
55	имя видят все	Ich Liebe Dich maine Leibe..Elsie💜💜💜
56	Yoan Manurip	😢😢😢😢😢
57	гагара	Люблю вас Abba муза моего детства. Лилия. Ургенч
58	алексей к	Это шедевр!!!!
59	Валерий Кичкаев	Песню написал Бьорн после того как они расстались с Агнетой
60	Leonor Dardon	Este grupo ABBA buenísimo siempre desde muchos años atrás muy especial 💓 su música excelente
61	Alberto Villanueva Rojas	Que bella cxancion Agnetta,, te remontastes bien alto en los corazones de la gente
62	Carla Rainel	Agora que fiquei sabendo o porque gravaram essa canção, a cara deles, principalmente delas faz todo sentido! Amo a Agnetha!! ABBA eterno❤❤❤❤
63	Madison Ponicappo	It kills me when she say 'youve come to shake my hand'
64	Ирина Иванова	Посмотрите историю этой песни... Почему Мирей Матье ее тоже пела... Интернет вам в поиск... А песня изумительная!!!
65	Marielle Martin	Reminds me of someone I loved very much. He's been living in another city for 25 years. Still miss him.
66	OJOK HERMINA	The most heart warming thing about ABBA is the courage to sing about a real life experience. I don't know how Agnetha could do it when her dream love life was falling apart, she could not know how that vulnerability was to impact so many and show them how to move on graciously after heart break. Abba the group just blessed us with their clear, clean version of ballads that any age group and any nationality could enjoy. They hit East Africa like a bombshell when we were in High School and at sixty we still rock to their golden oldies! May Yahweh bless them with His Light..,🙏🏾💕
67	ابن العراق	2022/12/31 Happy new year 😊
68	Luka unonoveseicinque	The perfect soundtrack for the Wimbledon 1980 final
69	allan marinay	I'm 28 and finally i knew the title of this song.. when i was a child i always heard this song playing on the radio but i didnt know the title
70	sole 73	Ero bimba..ora non più... canzoni come questa non tramonteranno mai❤
71	Andrea paula Ferreira soares	Não tem como descrever ou comparar a melhor época das melhores músicas seja no Brasil ou fora 🇧🇷
72	Сергей Безлепкин	Agnetta is a sweet creature with a wonderful voice. ABBA is the best band of the 80s.
73	Svetlana Fedchenkova	😢😢😢
74	Marc Si	Ohh it s m'y life
75	junjun yongyong	Beautiful voice
76	garden roses	2023 🥰💝 Abba for ever.
77	Rosa Penna	Pura emozione ❤
78	Rosa Penna	Brividi infiniti
79	carlos vigo	Que temasoooooooooo...
80	Robby Robbe	One word: EPIC❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
81	Harald Sletterød	Agnteha looks pissed off and Bjorn looks very uncomfortable. I can`t imagine the awkwardness recording this music video.
82	LEGO PINOY BOY	OG
83	Артур Сулейманов	Каждый прекрасен по своему, долгие вам лета.
84	Emanuela De Paolo	❤😍🥰
85	josef höllenbauer	My Love departed from me last September for another guy ... this song perfectly expresses what's going on in me. (This and Yesterday from the Beatles.) One is the winner and gets everything. The other one the loser, losing all.
86	Kiwinz94	Born in 1963. I came back from college when I heard this song! Thanks to my grandmother born in 1916! She bought this vinile especially for me, but she loved the song too! She was from Normandy, France. Thanks my beloved grandmother, every time I hear that song, I think about the great love we had for each other! I miss you very much!
87	Baronstone	My goodness, I had such a crush on her back then!
88	Wacha	Aghnete i love foreveer
89	Abdelkader Boughalem	I don't wanna talk About things we've gone through Though it's hurting me Now it's history I've played all my cards And that's what you've done too Nothing more to say No more ace to play The winner takes it all The loser's standing small Beside the victory That's her destiny I was in your arms Thinking I belonged there I figured it made sense Building me a fence Building me a home Thinking I'd be strong there But I was a fool Playing by the rules The gods may throw a dice Their minds as cold as ice And someone way down here Loses someone dear The winner takes it all (takes it all) The loser has to fall (has to fall) It's simple and it's plain (it's so plain) Why should I complain? (Why complain?) But tell me, does she kiss Like I used to kiss you? Does it feel the same When she calls your name? Somewhere deep inside You must know I miss you But what can I say? Rules must be obeyed The judges will decide (will decide) The likes of me abide (me abide) Spectators of the show (of the show) Always staying low (staying low) The game is on again (on again) A lover or a friend (or a friend) A big thing or a small (big or small) The winner takes it all (takes it all) I don't wanna talk If it makes you feel sad And I understand You've come to shake my hand I apologize If it makes you feel bad Seeing me so tense No self-confidence But you see The winner takes it all The winner takes it all So the winner takes it all And the loser has to fall Throw the dice, cold as ice Way down here, someone dear Takes it all, has to fall And it's plain, why complain?
90	Aslan Batyrov	Группа шведская, а песни на английском языке)
91	Rodrigo Paolinelli	The best song fron ABBA
92	Armando Aldana	best most beautiful song ive ever heard !!
93	Валерий Скрипка	Какая длинная сопрано с опупенной вибрацией... Оббббожаю
