	author	comment
0	KEVIN CARLSON	"I was 17 when ""The Winner Takes It All"" was released, at the same time that I got my teenage heart broken. I think I wore out my cassette tape drowning in my melancholy. Years later my girlfriend and I reunited and we're happily married. I still love the song and appreciate the brilliance of ABBA now more than ever."
1	Rosemeri De Almeida	Música linda 😍 despierta sentimientos y amores... eterno amor y sucesso 👏❤️
2	Gracie Star	There is a real sadness in her eyes. She is still breathtaking beautiful
3	Альбина Тамаева	Лучшая песня всех времён и народов👌
4	Denise Kemp	2022, and this song still hits hard!🔥🔥🔥
5	Joseph Gilligan	I grew up with wonderful music. I was 12 in 1980. Just superb song.
6	Sylvain Gomez	Amazing song, amazing singer !
7	L D hirantha2001	Everlasting performance ABBA❤️
8	Junior Rodrigues	Essa passada de língua que ela da nos lábios tira qualquer um de sério
9	Beth Kissel	She sang this song while going through her own divorce and you can feel her emotion in every word too. Phenomenal performance from an incredible singer !
10	Luka unonoveseicinque	The perfect soundtrack for the Wimbledon 1980 final
11	Robert Filg	Que momento mágico do Abba e aqui estamos em 2023 curtindo e revivendo o instante feliz que passamos.
12	Геннадий Лысенко	An amazing song. When I listen to her, it takes my breath away and emotions overwhelm me. I am grateful to God for giving humanity this wonderful group and the beautiful Agnetha with her divine voice. There are not enough words to describe all the admiration for this team. I am sure that ABBA will be in demand at all times, their music is eternal!
13	Eben Hawthorne	Brings back good memories.She had insane vocal range,can't be copied,.80's were the best decade of all music .Never will come around again.
14	jeh500	Possibly the best song about a breakup. ABBA will always be magic.
15	José Erivaldo	Uma das músicas mais linda que já ouvi!!
16	Тамара Максимова	Мы сейчас не можем и представить себя в 80-е без этой сверхпопулярной группы,без их легендарных песен,без неземной красоты Агнетты и ее фантастического голоса!...
17	Ник Иванов	Никаких кривляние,никаких ботексов, никакой фанеры, все естественно,женский шарм,обаяние,голос,и домашний тепло и уют, оказывается как мало нужна быть легендой.
18	Lanny Sousa	Nascir numa época posterior ao lançamento dessa música, mas ela consegue, inevitavelmente, me transportar para um tempo passado que não sei precisar, parece uma regressão de tão intensa a sensação que me causa.
19	Gosha Garanov	"""..Победительница получит всё..."" Я в то время был пацаном обожал эту песню и эту группу. На бабинах были все их песни. До сих пор с огромным удовольствием слушаю мировое музыкальное достояние. Всем удачи"
20	Алла Перемитина	Большая удача, когда совпадает музыка, текст и исполнение. И тогда уже на все времена! Свежо и ярко! Браво, ABBA!
21	Paolo Rodriguez	Tempos maravilhosos que não voltam mais,saudade !
22	Ana Maria Cuperio	🎉génial
23	Robson	"ABBA marcou minha geração anos 70,80 aqui no Brasil, mesmo sem entender uma palavra do que diziam, as canções ficaram marcadas em nossas Vidas, a música tem esse "" Dom"" de mexer com a nossa imaginação e nos remeter a passados e lembranças. saudades Abba ❤"
24	Лана Железова	Как же сложно, наверное, петь в тот момент именно это песню, как разрывалась её душа. Я строила дом... Какие проникновенные стихи... ❤❤❤
25	Виктор Ткаченко	Светлая, бесподобная мелодия!
26	OJOK HERMINA	The most heart warming thing about ABBA is the courage to sing about a real life experience. I don't know how Agnetha could do it when her dream love life was falling apart, she could not know how that vulnerability was to impact so many and show them how to move on graciously after heart break. Abba the group just blessed us with their clear, clean version of ballads that any age group and any nationality could enjoy. They hit East Africa like a bombshell when we were in High School and at sixty we still rock to their golden oldies! May Yahweh bless them with His Light..,🙏🏾💕
27	Elsa scholastica diana🌺	A very melancholic song. One you can never forget after hearing it
28	marcio marcio	A melhor melodia que ouvi em minha vida...👏👏👏
29	Anfilkins156 :0	They way this song hits me so hard even though I'm 15 and never have experienced heartbreak. Her emotion is so raw it channels through the video.
30	Vuk Stevovic	This song always makes me cry, because my parents divorced it was so stressful for me, my mother and my sister, but we continue to live and that is the magic of life. Be good at something, don't want so much from life and enjoy. This song always lifts me up. Although it is so sad.
31	Carla Rainel	Agora que fiquei sabendo o porque gravaram essa canção, a cara deles, principalmente delas faz todo sentido! Amo a Agnetha!! ABBA eterno❤❤❤❤
32	Светлана Юшина	Только их можно слушать вечно! Это как полотно Рембрандта. Ни кто и ни когда не будет лучше них!!!
33	Andrea paula Ferreira soares	Não tem como descrever ou comparar a melhor época das melhores músicas seja no Brasil ou fora 🇧🇷
34	Jonas Pereira Santiago Santiago	Simplesmente linda
35	Елена Рабданова	Шикарно;!! ;;
36	Ellinor Augustsson	1980 the year i Was born...and still this song is a master piece...i heard my son who is 19 years old play this song in the shower a week ago 🥰 ABBA Sveriges stolthet 💙💛
37	Manning Bartlett	I was 12 when this song came out, and didn't really like it, that was the era of Duran Duran and Gary Numan for me. Then when I was 40 I heard it on the radio, and was absolutely blown away by what a total masterpiece it is - the lyrics, the songwriting, the overall production, and of course, Agnetha's singing. Sometimes you have to grow up in order to really understand something.
38	Marika Damiano	Song that remains imprinted in the heart ♥️ and soul ❤️
